Iteration, Time, dt, x_l2, u_l2, b_l2
1, 0.0002, 0.0002, 100.21187115194869, 0.007029459005419302, 100.20484133402753
101, 0.22686015624999994, 0.0115330078125, 100.1879928194527, 0.004797246439623812, 100.1831682177515
201, 2.8790014450073245, 0.001824557876586914, 197.9858914080762, 30.63924979443025, 167.12387543464845
301, 3.0302368597970966, 0.0010280884433678174, 191.79997562301256, 40.70796244217495, 150.86763986059023
401, 3.1915889185486948, 0.0012405977566652458, 171.30571455939642, 31.079225096779002, 140.05121725888847
501, 3.3736573234088065, 0.0014611959160664885, 145.38542075256, 13.646229069805926, 131.7328522460772
601, 3.62376160919249, 0.005463712526696352, 165.532926543911, 61.794841873278045, 103.50902264482127
701, 4.00543898279458, 0.003241848085591435, 115.39852746239382, 3.8899712984735046, 111.45809724799254
801, 4.5263805194474855, 0.0076518633526846454, 118.6726206952916, 16.1482743685029, 102.47516886723638
901, 5.700699927956762, 0.014116359977050071, 103.97618505090476, 3.5910964547950295, 100.36273798795226
1001, 7.63479464326694, 0.0125107102773706, 102.68779607652125, 2.2645625935852056, 100.4170325718849
1101, 9.34752519649886, 0.020948040480862268, 106.79870019492125, 7.253875905565228, 99.5163977357805
1201, 11.325323159330647, 0.012099412182953498, 106.62205672710681, 5.8986393046441465, 100.70357607156325
1301, 12.856277318468504, 0.028061230329212202, 103.09206470022693, 4.052857029207875, 99.02973437376632
1401, 14.691126659396073, 0.015693968098749823, 103.06496959446591, 3.7301366859421194, 99.31698033647234
1501, 16.701668368910923, 0.02148984881765793, 110.69985716032535, 12.073698325915103, 98.59025800664847
1601, 18.326054154109784, 0.02561105692577967, 102.11644869805097, 3.5524156535224813, 98.55733253737613
1701, 20.330230902209728, 0.012535629209761416, 101.7360566235906, 2.532946764293673, 99.18556874696662
1801, 22.102310977067077, 0.017382405609694316, 104.34931404263706, 5.869470382035741, 98.45154700754276
1901, 24.146119998019493, 0.02095683442904168, 110.55162358331845, 12.659957037647386, 97.85370628821514
2001, 25.746954350209144, 0.01906660129180355, 99.48673051363448, 1.4355208351413222, 98.04509893339085
2101, 27.708473383451924, 0.02368735875006117, 100.862631066809, 3.155164912530864, 97.69677624266436
2201, 29.75331027434781, 0.01369101085601734, 98.58319366059851, 0.4745459134048909, 98.11598619431983
2301, 31.5455056810561, 0.016718898137592527, 99.7872974747538, 2.145073845835563, 97.62754350301292
2401, 33.502348126519486, 0.012412126363279088, 100.08062435344046, 2.098065698681471, 97.96340283953283
2501, 35.410267899140216, 0.01888612190409168, 107.29513138149629, 10.160530685328247, 97.08922603057259
2601, 37.26918859499258, 0.014619354855057567, 101.11789845422209, 3.8117244529298966, 97.28343267667161
2701, 39.11089504815053, 0.017713723903933973, 97.39682239418059, 0.5349230655585536, 96.85799863993054
2801, 40.87870192408588, 0.018268706698036777, 103.70269126037938, 7.248322812714321, 96.43658045305101
2901, 42.969496104101104, 0.020309772081963728, 108.90429227466562, 12.678635271608606, 96.17525476185055
3001, 44.6023150920199, 0.018918772182472236, 97.03578828175952, 0.7811580096652109, 96.25833256389267
3101, 46.557680884946755, 0.01706365404591338, 98.31121283271416, 2.1119559452784564, 96.18261444681131
3201, 48.52258709365693, 0.01172387382951723, 100.59702799443316, 3.9806227012307573, 96.59078973256233
3301, 50.496728358673984, 0.011614511532293863, 105.0237092599856, 8.511256582114187, 96.47606519283612
3401, 52.15978056416028, 0.029841958920484322, 99.97886123722246, 4.744091428520404, 95.20595394504976
3501, 54.07799925744549, 0.018313319376155608, 96.61766920031913, 1.1885185522447352, 95.41704757380116
3601, 55.88960766246658, 0.019000920609654526, 101.61715604075104, 6.399945451398303, 95.19623562238196
3701, 57.852201953151486, 0.029843187080711535, 99.37923978197472, 4.674287946666255, 94.6765716699327
3801, 59.85239113956106, 0.027183502815463743, 101.22614970886252, 6.597033822487892, 94.59302130052762
3901, 61.7224153777918, 0.03488575117685712, 99.79574024170073, 5.480506913379579, 94.3019620739429
4001, 63.46526359704385, 0.023339494292037608, 101.15858093757257, 6.805570354371605, 94.31829078100465
4101, 65.44471944058202, 0.01757740484021363, 103.146120153548, 9.144514904586186, 93.97300029653144
4201, 67.27325807463131, 0.0212027795195725, 96.42058379930216, 2.323708594804814, 94.08856232423014
4301, 69.23354473286338, 0.017943116407066622, 98.6970662266119, 4.607926871391821, 94.03696716726148
4401, 71.135777876909, 0.017034991001196795, 96.19363334448373, 2.242746516200516, 93.94094886717349
4501, 73.14246893843858, 0.013205650858282215, 99.08875797837763, 4.859624358727529, 94.19871039983774
4601, 75.03229774575303, 0.018248912831548527, 97.23799282377364, 3.7586839188223355, 93.48165787877471
4701, 77.14357658601855, 0.020086942756227494, 98.81616292387595, 5.543827248150107, 93.20757687493432
4801, 79.13148917092983, 0.019019158305157314, 95.01949461548483, 1.9589634426135347, 93.08542462408187
4901, 81.07172995582232, 0.026697352820578578, 96.7355462354299, 4.029535610445916, 92.67075565864089
5001, 83.27500646404374, 0.020147132649672484, 104.21640959063663, 11.43430846162728, 92.6740292337543
5101, 85.10094888492048, 0.02484885280542735, 95.73512021313606, 3.425442290551064, 92.34318472217572
5201, 87.0481062165463, 0.021378577168391224, 95.59260942173685, 3.3141424921216225, 92.27917332451393
5301, 89.02605069275069, 0.03325610730792454, 96.44166838516135, 4.6013842084808525, 91.85249876119563
5401, 91.1921380007118, 0.015189164688752563, 100.47859123186016, 8.118326613770819, 92.35735109267296
5501, 93.10626875088118, 0.023741577229834332, 95.78289139425459, 4.140080437023027, 91.70744732469109
