Iteration, Time, dt, x_l2, u_l2, b_l2
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1, 0.0002, 0.0002, 203.9429894045528, 3.9431007608932394, 199.99999999999991
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
1001, 0.9101870512468209, 0.0009497329012994524, 2118.5450776954485, 118.5443943147752, 1999.999999999998
