[('suffix', 'cfgtest'), ('MPIPROC', '32'), ('walltime', '0:02:00'), ('nodes', '1'), ('ncpus', '32'), ('model', 'sky_ele'), ('restart', 'False'), ('stop_sim_time', '20.'), ('wall_time_hr', '7.0'), ('init_timestep', '2e-4'), ('Ny', '32'), ('Nz', '128'), ('Nx', '128'), ('Ly', '2.0'), ('Lz', '1.0e1'), ('Lx', '1.0e1'), ('R', '1.1547005383792515'), ('q', '0.75'), ('nu', '1e-2'), ('Pm', '1e0'), ('set_b', 'False'), ('byg', '0.0'), ('bzg', '1.0'), ('bxg', '0.0'), ('Ayg', '0.0'), ('Azg', '0.0'), ('Axg', '0.0'), ('tau', '0.0'), ('B', '0.0'), ('isNoSlip', 'True'), ('slicepoint_dt', '0.01'), ('checkpoint_dt', '10.0')]
Iteration=301, Time=3.7064238049722613, dt=0.015686770311933947, x_l2=203.06636859929077, u_l2=3.066369599737784, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
Iteration=401, Time=5.27510083616565, dt=0.015686770311933947, x_l2=203.2414216528305, u_l2=3.2414215486771605, b_l2=199.99999999999991
